candidate_kc_key,candidate_kc_name,question_id,matched_routes,image_tokens,content,answer,analysis,type,options,all_kc_routes
402,直线和交点,3158,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$4$$ 条直线最多可以有个交点．每条线上有个交点.,"[""$$6$$"", ""$$3$$""]",$$4$$条直线最多有$$1+2+3=6$$个交点，每条线上有$$3$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3159,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$101$$ 条直线最多可以有个交点．每条线上有个交点.,"[""$$5050$$"", ""$$100$$""]",方法一：同一平面上，按照顺序添加第$$n$$条直线时，会增加$$n-1$$个交点，所以$$101$$条直线最多有$$1+2+3+\cdots +99+100=5050$$个交点，每条线上有$$100$$个交点．方法二：每条直线都与其他的直线有交点，所以每条直线上有$$100$$个交点，每个交点会被算两次，则有$$101\times 100\div 2=5050$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3695,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],同一平面上的$$20$$ 条直线最多可以有个交点？,"[""$$190$$""]",平面上有$$20$$条直线，最多确定交点：$$1+2+\cdots +19=190$$（个）．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3771,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$4$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$6$$"", ""$$3$$""]",$$4$$条直线最多有$$1+2+3=6$$个交点，每条线上有$$3$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3772,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],同一平面上的$$8$$条直线最多可以有个交点．,"[""$$28$$""]",同一平面上的$$8$$条直线最多有$$1+2+3+4+5+6+7=28$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3773,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$101$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$5050$$"", ""$$100$$""]",方法一：同一平面上，按照顺序添加第$$n$$条直线时，会增加$$n-1$$个交点，所以$$101$$条直线最多有$$1+2+3+\cdots +99+100=5050$$个交点，每条线上有$$100$$个交点．方法二：每条直线都与其他的直线有交点，所以每条直线上有$$100$$个交点，每个交点会被算两次，则有$$101\times 100\div 2=5050$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,3774,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$3$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$3$$"", ""$$2$$""]",$$3$$条直线最多有$$1+2=3$$个交点，每条线上有$$2$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4289,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4289-image_0"", ""analysis_4289-image_1"", ""question_4289-image_0""]",图中共有$$6$$条直线，去掉一条直线，使得交点个数为$$7$$个，那么去掉的是 question_4289-image_0,"[""D""]",一个点如果只连接两条直线，那么去掉其中一条的话，这个点就不存在了$$.$$ 分析每一条直线上交点的情况，如果是$$2$$条直线交成的点，那么去掉这条线，相应的点就会消失，如果是$$3$$条及以上直线交成的点，去掉该线对于交点没有影响，详见下图： analysis_4289-image_0 我们发现交点变为$$6$$个的方法有三种$$.$$ 去完线之后的图形如下： analysis_4289-image_1,单选,"{""A"": ""$$l1$$"", ""B"": ""$$l2$$"", ""C"": ""$$l3$$"", ""D"": ""$$l4$$""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4503,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4503-image_0"", ""analysis_4503-image_1"", ""analysis_4503-image_2"", ""analysis_4503-image_3"", ""analysis_4503-image_4"", ""analysis_4503-image_5"", ""question_4503-image_0""]","在下图中添加一条直线，那么图中的交点数不可能变成（ ）个．
 question_4503-image_0","[""G""]","$$6$$、$$7$$、$$8$$、$$9$$、$$10$$、$$11$$均有可能，详见如图：
 analysis_4503-image_0 analysis_4503-image_1 analysis_4503-image_2 analysis_4503-image_3 analysis_4503-image_4 analysis_4503-image_5",单选,"{""A"": ""$$6$$"", ""B"": ""$$7$$"", ""C"": ""$$8$$"", ""D"": ""$$9$$"", ""E"": ""$$10$$"", ""F"": ""$$11$$"", ""G"": ""$$12$$""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4504,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4504-image_0"", ""question_4504-image_0""]","图中的$$5$$个点一共可以画出$$6$$条直线，如果在图中再增加一个点，新产生直线的数量一共有种情况.
 question_4504-image_0","[""$$4$$""]","$$4$$种情况：
 analysis_4504-image_0",填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4507,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],在同一平面上任给$$20$$个点，最多可以确定条直线．同一平面上的$$20$$ 条直线最多可以有个交点．,"[""$$190$$"", ""$$190$$""]",平面上有$$20$$个点，最多确定直线：$$19+18+\cdots +1=190$$（条）；平面上有$$20$$条直线，最多确定交点：$$1+2+\cdots +19=190$$（个）．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4663,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4663-image_0"", ""question_4663-image_0""]","‍图中共$$5$$条直线$$5$$个交点，去掉号直线，能够让交点不发生改变．
 question_4663-image_0","[""$$4$$""]","如图，去掉$$4$$号直线，交点不发生改变．
 analysis_4663-image_0",填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4664,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],同一平面上的$$20$$条直线，最多可以有个交点．,"[""$$190$$""]",$$1+2+\cdots+19=190$$个．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4720,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4720-image_0"", ""question_4720-image_0""]",下图中共有$$8$$条直线，位置如图，其中$${{l}_{1}}$$、$${{l}_{2}}$$、$${{l}_{3}}$$互相平行，$${{l}_{4}}$$、$${{l}_{5}}$$互相平行，那么：这些直线共有个交点 question_4720-image_0,"[""$$16$$""]",枚举数点，注意$${{l}_{4}}$$与$${{l}_{6}}$$的交点不在图中，容易遗漏． analysis_4720-image_0,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4721,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4721-image_0"", ""question_4721-image_0""]",下图中共有$$8$$条直线，位置如图，其中$${{l}_{1}}$$、$${{l}_{2}}$$、$${{l}_{3}}$$互相平行，$${{l}_{4}}$$、$${{l}_{5}}$$互相平行，如果在图中添加一条直线，交点数最多可以增加个交点． question_4721-image_0,"[""$$8$$""]",最多增加$$8$$个，即与每条直线均产生一个新交点． analysis_4721-image_0,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4722,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4722-image_0"", ""analysis_4722-image_1"", ""question_4722-image_0""]",下图中共有$$8$$条直线，位置如图，其中$${{l}_{1}}$$、$${{l}_{2}}$$、$${{l}_{3}}$$互相平行，$${{l}_{4}}$$、$${{l}_{5}}$$互相平行，那么：去掉一条直线最多可以减少个交点 question_4722-image_0,"[""$$5$$""]",如下图： analysis_4722-image_0 线去掉如下图所示： analysis_4722-image_1,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4723,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$3$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$3$$"", ""$$2$$""]",$$3$$条直线最多有$$1+2=3$$个交点，每条线上有$$2$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4724,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$4$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$6$$"", ""$$3$$""]",$$4$$条直线最多有$$1+2+3=6$$个交点，每条线上有$$3$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4725,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],请回答下列各题：同一平面上的$$101$$ 条直线最多可以有个交点，每条线上有个交点．,"[""$$5050$$"", ""$$100$$""]",方法一：同一平面上，按照顺序添加第$$n$$条直线时，会增加$$n-1$$个交点，所以$$101$$条直线最多有$$1+2+3+\cdots +99+100=5050$$个交点，每条线上有$$100$$个交点．方法二：每条直线都与其他的直线有交点，所以每条直线上有$$100$$个交点，每个交点会被算两次，则有$$101\times 100\div 2=5050$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4938,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4938-image_0"", ""analysis_4938-image_1"", ""question_4938-image_0""]",下图中有条直线，个交点． question_4938-image_0,"[""$$4$$"", ""$$4$$""]",同一平面内的两条直线有两种关系，平行或相交． 如果两条直线平行，则不会产生交点；如果两条直线相交，则能且只能产生一个交点$$.$$ 影响直线成交点个数的两个因素是：“平行”和“多线共点”.（$$1$$）平行原图有两组平行线，所以有下面两类情况，均会产生两个新的交点． analysis_4938-image_0 （$$2$$）多线共点新增线和原来的四条线不平行，一定相交，可以交于“老”点，也可以交于“新”点，两者择其一.观察发现本题图形每个“老”交点都关联两条直线，所以可以有以下三类情况：①不共用“老”点；②共用一个“老”点；③共用两个“老”点． analysis_4938-image_1,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4939,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4939-image_0"", ""analysis_4939-image_1"", ""question_4939-image_0""]",如果在图中添加一条直线，可以新增个交点． question_4939-image_0,"[""C""]",同一平面内的两条直线有两种关系，平行或相交． 如果两条直线平行，则不会产生交点；如果两条直线相交，则能且只能产生一个交点$$.$$ 影响直线成交点个数的两个因素是：“平行”和“多线共点”.（$$1$$）平行原图有两组平行线，所以有下面两类情况，均会产生两个新的交点． analysis_4939-image_0 （$$2$$）多线共点新增线和原来的四条线不平行，一定相交，可以交于“老”点，也可以交于“新”点，两者择其一.观察发现本题图形每个“老”交点都关联两条直线，所以可以有以下三类情况：①不共用“老”点；②共用一个“老”点；③共用两个“老”点． analysis_4939-image_1,单选,"{""A"": ""0个，$$1$$个，$$2$$ 个"", ""B"": ""0个，$$2$$个，$$3$$个"", ""C"": ""0个，$$2$$个，$$4$$个""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,4940,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_4940-image_0"", ""analysis_4940-image_1"", ""question_4940-image_0""]",下图中有条直线，个交点 question_4940-image_0,"[""$$5$$"", ""$$6$$""]",同一平面内的两条直线有两种关系，平行或相交．如果两条直线平行，则不会产生交点；如果两条线相交，则有且只能产生一个交点．影响直线成交点个数的两个因素是：“平行”和“多线共点”．（$$1$$）平行原图有两组平行线，所以有下面两类情况． analysis_4940-image_0 （$$2$$）多线共点新增线和原来的五条线不平行，一定相交，可以交于“老”点，也可以交于“新”点，两者择其一，交于“老”点就意味着不再与“老”点连接的线产生点．观察发现本题图形每个“老”交点都关联两条直线，所以可以有以下三类情况：①不共用“老”点；②共用一个“老”点；③共用两个“老”点，无法共用更多． analysis_4940-image_1,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,5370,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],同一平面上的$$8$$条直线最多可以有个交点．,"[""$$28$$""]",同一平面上的$$8$$条直线最多有$$1+2+3+4+5+6+7=28$$个交点．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,5464,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""question_5464-image_0""]","图中共$$6$$条直线$$11$$个交点，去掉$$1$$条直线，使交点个数减少$$5$$个．请问去掉的是编号为的直线．
 question_5464-image_0","[""$$6$$""]",如果是两条直线的交点，去掉其中一条线，交点就消失了；如果是三条及以上直线的交点，去掉其中一条线，对交点无影响$$.$$ 依次分析每条直线上交点的情况，只有去掉编号为$$6$$的这条直线可使交点个数减少$$5$$个．,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,5465,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_5465-image_0"", ""question_5465-image_0""]","图中有$$5$$个点可以画出$$6$$条直线，在图中再增加一个点，想要增加数量不同的直线，你能想到种情况．
 question_5465-image_0","[""$$4$$""]","$$4$$种情况：
 analysis_5465-image_0 
故答案为：$$4$$．",填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,5749,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_5749-image_0"", ""question_5749-image_0""]","图中有$$5$$条直线$$9$$个交点，如果去掉直线$$e$$，还剩下个交点．
 question_5749-image_0","[""$$6$$""]","如图，去掉直线$$e$$可以减少$$3$$个交点，还剩下$$6$$个交点．
 analysis_5749-image_0",填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,5767,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_5767-image_0"", ""analysis_5767-image_1"", ""question_5767-image_0""]",图中共有6条直线，去掉一条直线，使得交点个数为7个，那么去掉的是 question_5767-image_0,"[""D""]",一个点如果只连接两条直线，那么去掉其中一条的话，这个点就不存在了$$.$$ 分析每一条直线上交点的情况，如果是$$2$$条直线交成的点，那么去掉这条线，相应的点就会消失，如果是$$3$$条及以上直线交成的点，去掉该线对于交点没有影响，详见下图： analysis_5767-image_0 我们发现交点变为$$6$$个的方法有三种$$.$$ 去完线之后的图形如下： analysis_5767-image_1,单选,"{""A"": ""$$l1$$"", ""B"": ""$$l2$$"", ""C"": ""$$l3$$"", ""D"": ""$$l4$$""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,6065,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_6065-image_0"", ""analysis_6065-image_1"", ""question_6065-image_0""]",如果在图中添加一条直线，可以新增个交点． question_6065-image_0,"[""C""]",同一平面内的两条直线有两种关系，平行或相交． 如果两条直线平行，则不会产生交点；如果两条直线相交，则能且只能产生一个交点$$.$$ 影响直线成交点个数的两个因素是：“平行”和“多线共点”.（$$1$$）平行原图有两组平行线，所以有下面两类情况，均会产生两个新的交点． analysis_6065-image_0 （$$2$$）多线共点新增线和原来的四条线不平行，一定相交，可以交于“老”点，也可以交于“新”点，两者择其一.观察发现本题图形每个“老”交点都关联两条直线，所以可以有以下三类情况：①不共用“老”点；②共用一个“老”点；③共用两个“老”点． analysis_6065-image_1,单选,"{""A"": ""0个，$$1$$个，$$2$$ 个"", ""B"": ""0个，$$2$$个，$$3$$个"", ""C"": ""0个，$$2$$个，$$4$$个""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,6435,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]","[""analysis_6435-image_0"", ""analysis_6435-image_1"", ""question_6435-image_0""]",下图中有条直线，个交点 question_6435-image_0,"[""$$5$$"", ""$$6$$""]",同一平面内的两条直线有两种关系，平行或相交．如果两条直线平行，则不会产生交点；如果两条线相交，则有且只能产生一个交点．影响直线成交点个数的两个因素是：“平行”和“多线共点”．（$$1$$）平行原图有两组平行线，所以有下面两类情况． analysis_6435-image_0 （$$2$$）多线共点新增线和原来的五条线不平行，一定相交，可以交于“老”点，也可以交于“新”点，两者择其一，交于“老”点就意味着不再与“老”点连接的线产生点．观察发现本题图形每个“老”交点都关联两条直线，所以可以有以下三类情况：①不共用“老”点；②共用一个“老”点；③共用两个“老”点，无法共用更多． analysis_6435-image_1,填空,{},"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
402,直线和交点,6687,"[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]",[],平面上$$2$$个点可以确定$$1$$条直线．那么$$3$$个点可以确定（ ）条直线．,"[""D""]",$$3$$个点：$$3$$或$$1$$；①$$3$$点不共线：可以连$$3$$条；②$$3$$点共线：可以连$$1$$条．,单选,"{""A"": ""$$1$$"", ""B"": ""$$2$$"", ""C"": ""$$1$$或$$2$$"", ""D"": ""$$1$$或$$3$$""}","[""拓展思维----组合模块----智巧趣题----点线排布----直线和交点""]"
422,各点等价,1624,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""question_1624-image_0""]",如图是$$A$$，$$B$$，$$C$$，$$D$$，$$E$$五个村之间的道路示意图，$$\bigcirc $$中的数是各村要上学的学生人数，道路上的数表示两村之间的距离（单位：千米）．现在要在五村之中选一个村建立一所小学．为使所有学生到学校的总距离最短，则小学应该建在（ ）． question_1624-image_0,"[""C""]","“支往干靠”，将$$B$$移至$$C$$；“小往大靠”，这时比较 $$C$$、$$D$$两点，若建在$$C$$点，共行走：$$40\times 3+20\times 2+35\times 4+50\times 9=750$$（千米）；
若建在$$D$$点，共行走：$$40\times 7+20\times 6+20\times 4+50\times 5=730$$（千米）；
经比较，小学应建在$$D$$点．
故选$$\text{C}$$．",单选,"{""A"": ""$$A$$村"", ""B"": ""$$C$$村"", ""C"": ""$$D$$村"", ""D"": ""$$E$$村""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
422,各点等价,1668,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价"", ""知识点----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""question_1668-image_0""]",赵乡长下村召集甲、乙、丙、丁四个村的村干部会议，这四个村子每相邻两个村子都是相距$$5$$千米（如图）．参加会议的人数是甲村$$8$$人，乙村$$5$$人，丙村$$3$$人，丁村$$7$$人．问赵乡长应在哪个村子召集会议．能使所有参加会议的人所走路程的总和最小？（ ） question_1668-image_0,"[""B""]",本题逐一枚举即可,单选,"{""A"": ""甲村"", ""B"": ""乙村"", ""C"": ""丙村"", ""D"": ""丁村""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价"", ""知识点----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
422,各点等价,2171,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""question_2171-image_0""]",（$$1$$）如图，在街道上有$$A$$、$$B$$、$$C$$、$$D$$、$$E$$五栋居民楼，每栋居民楼的人数一样多．现在设立一个公交站，为使五栋楼的居民到车站的距离之和最短，车站应位于何处？ question_2171-image_0,"[""C""]",（$$1$$）首先分析$$A$$、$$E$$两点，无论车站位于$$AE$$间的哪一点，$$A$$、$$E$$两点到达车站的距离之和总是线段$$AE$$；接着，为使$$B$$、$$C$$、$$D$$到车站的距离之和最短，车站应位于$$BD$$之间．同理，无论在$$BD$$间的哪一点，$$B$$、$$D$$两点到达车站的距离之和总是线段$$BD$$．最后，只需要考虑$$C$$点到车站的距离最近就行了．那么当然应把车站放在$$C$$点了．距离总和为$$AE+BD$$．,单选,"{""A"": ""$$A$$"", ""B"": ""$$B$$"", ""C"": ""$$C$$"", ""D"": ""$$D$$"", ""E"": ""$$E$$""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
422,各点等价,2174,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""analysis_2174-image_0"", ""question_2174-image_0""]",某乡共有六块甘蔗地，每块地的产量如下图所示．现在准备建设一座糖厂，问糖厂建于何处总运费最省？ question_2174-image_0,"[""C""]",$$D$$处$$7$$吨下移至$$C$$进入主干道，此时$$C$$处$$2+7=9$$，根据小往大靠的原则，$$A$$处$$3$$吨右移至$$B$$后跟$$B$$处的$$4$$吨一同移至$$C$$处，此时$$C$$处$$9+3+4>5+6$$，因此，将糖厂建于$$C$$处运费最省． analysis_2174-image_0,单选,"{""A"": ""$$A$$"", ""B"": ""$$B$$"", ""C"": ""$$C$$"", ""D"": ""$$D$$""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
422,各点等价,2183,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""question_2183-image_0""]",如图，某小区有张、王、李、孙、刘五户居民，各户之间的距离相等，政府准备在该小区建立一个取水站，方便居民用水；为使五户的居民到取水站的距离之和最短，水站应立于哪户居民旁边？ question_2183-image_0,"[""C""]",一共有$$5$$个点，那么应该选择$$5$$个点中最中间的位置，即选择李家的旁边．故选$$\text{C}$$．,单选,"{""A"": ""张家"", ""B"": ""王家"", ""C"": ""李家"", ""D"": ""孙家"", ""E"": ""刘家""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
422,各点等价,3256,"[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]","[""question_3256-image_0""]",如图，在街道上有$$A$$、$$B$$、$$C$$、$$D$$、$$E$$、$$F$$、$$G$$七栋居民楼，每栋楼里每天都有$$80$$个人要坐车，现在设立一个公交站，要想使居民到达车站的距离之和最短，应该设在处． question_3256-image_0,"[""D""]",不考虑每栋楼里坐车的人数，应该把车站放在$$D$$点．因为每栋楼坐车的人数相同，那么数量不影响选择，所以应该把车站放在$$D$$点．,单选,"{""A"": ""$$A$$"", ""B"": ""$$B$$"", ""C"": ""$$C$$"", ""D"": ""$$D$$""}","[""拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价""]"
